"natsub","species","group","model","b1","b2","b3","natural_subregion"
0,"CO","Provincial",2,37.0245,4.431,-1.4401,NA
0,"PB","Provincial",1,28.3642,0.051,1.1338,NA
0,"AW","Provincial",1,26.6988,0.0707,1.1996,NA
0,"PL","Provincial",2,35.7547,3.8234,-1.2824,NA
0,"FB","Provincial",2,32.2788,4.6623,-1.537,NA
0,"SW","Provincial",2,35.7854,4.8482,-1.604,NA
0,"LT","Provincial",2,25.1942,4.6404,-1.7314,NA
0,"BW","Provincial",1,22.4814,0.0673,1.1496,NA
0,"PJ","Provincial",2,29.6471,3.7192,-1.3144,NA
0,"DE","Provincial",1,26.7947,0.0693,1.2518,NA
0,"SB","Provincial",2,32.3393,3.9894,-1.3141,NA
0,"FD","Provincial",2,31.3354,3.5952,-1.1138,NA
1,"LT","Provincial",2,25.1942,4.6404,-1.7314,"CM"
1,"PJ","Provincial",2,29.6471,3.7192,-1.3144,"CM"
1,"CO","Provincial",2,37.0245,4.431,-1.4401,"CM"
1,"SB","Others",2,41.1666,4.091,-1.2291,"CM"
1,"AW","Others",1,25.9208,0.078,1.2472,"CM"
1,"FD","Provincial",2,31.3354,3.5952,-1.1138,"CM"
1,"FB","Others",2,35.0921,4.8799,-1.584,"CM"
1,"PB","Others",1,31.0457,0.0405,0.9862,"CM"
1,"BW","Provincial",1,22.4814,0.0673,1.1496,"CM"
1,"PL","Others",2,38.9208,3.834,-1.2172,"CM"
1,"DE","Provincial",1,26.7947,0.0693,1.2518,"CM"
1,"SW","Others",2,36.2971,4.658,-1.5743,"CM"
2,"SW","Others",2,36.2971,4.658,-1.5743,"DM"
2,"SB","Others",2,41.1666,4.091,-1.2291,"DM"
2,"BW","Provincial",1,22.4814,0.0673,1.1496,"DM"
2,"AW","Others",1,25.9208,0.078,1.2472,"DM"
2,"FD","Provincial",2,31.3354,3.5952,-1.1138,"DM"
2,"CO","Provincial",2,37.0245,4.431,-1.4401,"DM"
2,"PB","Others",1,31.0457,0.0405,0.9862,"DM"
2,"LT","Provincial",2,25.1942,4.6404,-1.7314,"DM"
2,"PL","Others",2,38.9208,3.834,-1.2172,"DM"
2,"FB","Others",2,35.0921,4.8799,-1.584,"DM"
2,"DE","Provincial",1,26.7947,0.0693,1.2518,"DM"
2,"PJ","Provincial",2,29.6471,3.7192,-1.3144,"DM"
3,"BW","Provincial",1,22.4814,0.0673,1.1496,"NM"
3,"LT","Provincial",2,25.1942,4.6404,-1.7314,"NM"
3,"SW","Others",2,36.2971,4.658,-1.5743,"NM"
3,"SB","Others",2,41.1666,4.091,-1.2291,"NM"
3,"PB","Others",1,31.0457,0.0405,0.9862,"NM"
3,"AW","Others",1,25.9208,0.078,1.2472,"NM"
3,"PJ","Provincial",2,29.6471,3.7192,-1.3144,"NM"
3,"CO","Provincial",2,37.0245,4.431,-1.4401,"NM"
3,"FD","Provincial",2,31.3354,3.5952,-1.1138,"NM"
3,"FB","Others",2,35.0921,4.8799,-1.584,"NM"
3,"PL","Others",2,38.9208,3.834,-1.2172,"NM"
3,"DE","Provincial",1,26.7947,0.0693,1.2518,"NM"
4,"SB","Others",2,41.1666,4.091,-1.2291,"BSA"
4,"FB","Others",2,35.0921,4.8799,-1.584,"BSA"
4,"SW","Others",2,36.2971,4.658,-1.5743,"BSA"
4,"DE","Provincial",1,26.7947,0.0693,1.2518,"BSA"
4,"PJ","Provincial",2,29.6471,3.7192,-1.3144,"BSA"
4,"FD","Provincial",2,31.3354,3.5952,-1.1138,"BSA"
4,"CO","Provincial",2,37.0245,4.431,-1.4401,"BSA"
4,"BW","Provincial",1,22.4814,0.0673,1.1496,"BSA"
4,"PL","Others",2,38.9208,3.834,-1.2172,"BSA"
4,"AW","Others",1,25.9208,0.078,1.2472,"BSA"
4,"PB","Others",1,31.0457,0.0405,0.9862,"BSA"
4,"LT","Provincial",2,25.1942,4.6404,-1.7314,"BSA"
5,"DE","Provincial",1,26.7947,0.0693,1.2518,"PAD"
5,"SB","Others",2,41.1666,4.091,-1.2291,"PAD"
5,"SW","Others",2,36.2971,4.658,-1.5743,"PAD"
5,"FB","Others",2,35.0921,4.8799,-1.584,"PAD"
5,"BW","Provincial",1,22.4814,0.0673,1.1496,"PAD"
