species,natsub,b1,b2,b3,model,group
AL,0,36.1486,4.3125,-1.4208,,
AL,1,36.1486,4.3125,-1.4208,,
AL,2,36.1486,4.3125,-1.4208,,
AL,3,36.1486,4.3125,-1.4208,,
AL,4,36.1486,4.3125,-1.4208,,
AL,5,36.1486,4.3125,-1.4208,,
AL,6,36.1486,4.3125,-1.4208,,
AL,7,36.1486,4.3125,-1.4208,,
AL,8,36.1486,4.3125,-1.4208,,
AL,9,36.1486,4.3125,-1.4208,,
AL,10,36.1486,4.3125,-1.4208,,
AL,11,36.1486,4.3125,-1.4208,,
AL,12,36.1486,4.3125,-1.4208,,
AL,13,36.1486,4.3125,-1.4208,,
AL,14,36.1486,4.3125,-1.4208,,
AL,15,36.1486,4.3125,-1.4208,,
AL,16,36.1486,4.3125,-1.4208,,
AL,17,36.1486,4.3125,-1.4208,,
AL,18,36.1486,4.3125,-1.4208,,
AL,19,36.1486,4.3125,-1.4208,,
AL,20,36.1486,4.3125,-1.4208,,
AL,21,36.1486,4.3125,-1.4208,,
AW,0,26.3137,0.0757,1.2699,1,Provincial
AW,1,25.679,0.0814,1.2926,1,Others
AW,2,25.679,0.0814,1.2926,1,Others
AW,3,25.679,0.0814,1.2926,1,Others
AW,4,25.679,0.0814,1.2926,1,Others
AW,5,25.679,0.0814,1.2926,1,Others
AW,6,25.679,0.0814,1.2926,1,Others
AW,7,29.2555,0.0473,1.199,1,7 to 10
AW,8,29.2555,0.0473,1.199,1,7 to 10
AW,9,29.2555,0.0473,1.199,1,7 to 10
AW,10,29.2555,0.0473,1.199,1,7 to 10
AW,11,26.6412,0.0754,1.3101,1,11
AW,12,25.679,0.0814,1.2926,1,Others
AW,13,25.679,0.0814,1.2926,1,Others
AW,14,25.679,0.0814,1.2926,1,Others
AW,15,25.679,0.0814,1.2926,1,Others
AW,16,25.679,0.0814,1.2926,1,Others
AW,17,25.679,0.0814,1.2926,1,Others
AW,18,25.679,0.0814,1.2926,1,Others
AW,19,25.679,0.0814,1.2926,1,Others
AW,20,25.679,0.0814,1.2926,1,Others
AW,21,25.679,0.0814,1.2926,1,Others
BW,0,23.1255,0.0683,1.145,1,Provincial
BW,1,23.1255,0.0683,1.145,1,Provincial
BW,2,23.1255,0.0683,1.145,1,Provincial
BW,3,23.1255,0.0683,1.145,1,Provincial
BW,4,23.1255,0.0683,1.145,1,Provincial
BW,5,23.1255,0.0683,1.145,1,Provincial
BW,6,23.1255,0.0683,1.145,1,Provincial
BW,7,23.1255,0.0683,1.145,1,Provincial
BW,8,23.1255,0.0683,1.145,1,Provincial
BW,9,23.1255,0.0683,1.145,1,Provincial
BW,10,23.1255,0.0683,1.145,1,Provincial
BW,11,23.1255,0.0683,1.145,1,Provincial
BW,12,23.1255,0.0683,1.145,1,Provincial
BW,13,23.1255,0.0683,1.145,1,Provincial
BW,14,23.1255,0.0683,1.145,1,Provincial
BW,15,23.1255,0.0683,1.145,1,Provincial
BW,16,23.1255,0.0683,1.145,1,Provincial
BW,17,23.1255,0.0683,1.145,1,Provincial
BW,18,23.1255,0.0683,1.145,1,Provincial
BW,19,23.1255,0.0683,1.145,1,Provincial
