species,natsub,a0,a1,a2,b1,b2,b3,b4,b5,k7,k8
AW,0,0.790406,1.026943,0.997524,0.600584,-0.065681,-0.173812,0.121363,0.063253,0.091433,1.077082
AW,1,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,2,0.944522,0.93803,1.001644,0.695363,-0.067849,0.050603,-0.01633,0.116432,0.024127,1.081189
AW,3,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,4,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,5,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,6,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,7,0.588838,1.161895,0.992096,0.7093,-0.075446,-0.116041,0.040949,0.113638,0.21134,1.073573
AW,8,0.588838,1.161895,0.992096,0.7093,-0.075446,-0.116041,0.040949,0.113638,0.21134,1.073573
AW,9,0.905615,0.964894,1.000054,0.553236,-0.049737,-0.280768,0.170687,0.075789,0.135261,1.072734
AW,10,0.588838,1.161895,0.992096,0.7093,-0.075446,-0.116041,0.040949,0.113638,0.21134,1.073573
AW,11,0.905615,0.964894,1.000054,0.553236,-0.049737,-0.280768,0.170687,0.075789,0.135261,1.072734
AW,12,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,13,0.841897,0.997064,0.998713,0.536865,-0.06402,-0.234471,0.179963,0.03155,0.061755,1.079512
AW,14,0.944522,0.93803,1.001644,0.695363,-0.067849,0.050603,-0.01633,0.116432,0.024127,1.081189
AW,15,0.944522,0.93803,1.001644,0.695363,-0.067849,0.050603,-0.01633,0.116432,0.024127,1.081189
AW,16,0.944522,0.93803,1.001644,0.695363,-0.067849,0.050603,-0.01633,0.116432,0.024127,1.081189
AW,17,0.790406,1.026943,0.997524,0.600584,-0.065681,-0.173812,0.121363,0.063253,0.091433,1.077082
AW,18,0.790406,1.026943,0.997524,0.600584,-0.065681,-0.173812,0.121363,0.063253,0.091433,1.077082
AW,19,0.790406,1.026943,0.997524,0.600584,-0.065681,-0.173812,0.121363,0.063253,0.091433,1.077082
AW,20,0.790406,1.026943,0.997524,0.600584,-0.065681,-0.173812,0.121363,0.063253,0.091433,1.077082
BW,0,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,1,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,2,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,3,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,4,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,5,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,6,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,7,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
BW,8,0.894358,1.007721,0.991384,-0.483072,0.155593,-2.273122,1.326501,0.168897,0.077197,1.062798
