company,company_plot_number,tree_number,tree_label,tree_location,tree_origin,sector_or_quarter,species,distance,azimuth,trees_comment,measurement_number,tree_type,dbh,dbh_height,rcd,rcd_height,height,crown_class,dbh_age,stump_age,stump_height,total_age,stand_age_representative,htlc,crown_diameter_ns,crown_diameter_ew,condition_code1,cause1,severity1,condition_code2,cause2,severity2,condition_code3,cause3,severity3,leader_count,trees_measurement_comment
ANC,GM43R,0,0,U,0,0,No,,,No trees in plot just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees in plot just regen
ANC,GM44,0,0,U,0,0,No,,,No trees in plot just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees in plot just regen
ANC,GM56R,0,0,U,0,0,No,,,No trees just regen in plot,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees just regen in plot
ANC,GM62,0,0,U,0,0,No,,,No trees in plot just regen,2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees in plot just regen
ANC,NG53R,0,0,U,0,0,No,,,no trees just regen so far,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,no trees just regen so far
ANC,NG71R,0,0,U,0,0,No,,,No trees yet just regen,2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees yet just regen
ANC,NG71R,0,0,U,0,0,No,,,No trees yet just regen,3,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees yet just regen
ANC,R16,0,0,U,0,0,No,,,No trees yet just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees yet just regen
ANC,R22,0,0,U,0,0,No,,,no trees yet just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,no trees yet just regen
ANC,R32,0,0,U,0,0,No,,,no trees yet just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,no trees yet just regen
ANC,R35,0,0,U,0,0,No,,,No trees just regen so far,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees just regen so far
ANC,R38,0,0,U,0,0,No,,,no trees yet just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,no trees yet just regen
ANC,R39,0,0,U,0,0,No,,,No trees just regen so far,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees just regen so far
ANC,R6,0,0,U,0,0,No,,,no trees yet just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,no trees yet just regen
ANC,R8,0,0,U,0,0,No,,,No trees yet just regen,1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,No trees yet just regen
BLUE,10438_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,10678_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,10946_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,10955_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,10957_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,11717_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,11720_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,11983_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,11984_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,11988_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,12751_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,12755_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,12785_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,12785_1,0,0,U,0,0,No,,,"",3,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,12785_1,0,0,U,0,0,No,,,"",4,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,13013_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,13283_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,13535_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,14062_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,14062_1,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,14583_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,14583_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,14779_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,14827_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,15863_1,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,17078_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,17078_2,0,0,U,0,0,No,,,"",2,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
BLUE,18423_2,0,0,U,0,0,No,,,"",1,T,,,,,,N,,,,,,,,,14,99,9,,,9,,,9,,""
